tipo;situacao;data;hora;bairro;endereco;numero;complemento;natureza;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais
COLISÃO;FINALIZADA;2018-09-18;14:09:00;IMBIRIBEIRA;AV PRESIDENTE DUTRA;298;EM FRENTE AO EMPRESARIAL MG/ SENTIDO SUBURBIO;COLISÃO;COLISÃO SEM VÍTIMA;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-09-18;14:30:00;BOA VIAGEM;RUA PADRE CARAPUCEIRO;;EM FRENTE AO COLEGIO MOTIVO;COLISÃO;DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-18;14:40:00;VÁRZEA;RUA ZEZITO COSTA REGO;218;AO LADO COLEGIO CONHECER PONTUAL;COLISÃO;COLISÃO SEM VÍTIMA;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-18;15:01:00;MADALENA;AV ENGENHEIRO ABDIAS DE CARVALHO;;PROXIMO A DROGASIL/ SENTIDO BR/ SEMÁFORO 052;COLISÃO;COLISÃO SEM VÍTIMA;1;;;;;;1;;;0;
COLISÃO;CANCELADA;2018-09-18;17:20:00;BOA VIAGEM;RUA TENENTE DOMINGOS DE BRITO;375;EM FRENTE AO POSTO SETTA;COLISÃO;DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-18;17:29:00;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;4650;EM FRENTE AO EDIFICIO JULIANE, SNT PIEDADE / AO LADO DO PONTEIO;COLISÃO;COLISÃO SEM VÍTIMA;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-09-18;17:56:00;BONGI;AV ENGENHEIRO ABDIAS DE CARVALHO;;PRÓXIMO A CHESF NO SENTIDO BR;COLISÃO;COLISÃO ENTRE MOTO X AUTO;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-09-18;18:10:00;SÃO JOSÉ;PRC DAS CINCO PONTAS;321;ENF TRIBUNAL REGIONAL ELEITORAL DE PE. // NA ENTRADA PRINCIPAL;COLISÃO;LOGAN X MOTO;1;1;;;;;;;;0;
COLISÃO;CANCELADA;2018-09-18;18:15:00;SAN MARTIN;AV GENERAL SAN MARTIN;;SEMÁFORO 058 - CRUZ COM A  AV. ABDIAS DE CARVALHO   / PRÓX  A COMPAZ;COLISÃO;ENTRE CAMINHÃO E AUTO . S/V;1;;;;;;1;;;0;
COLISÃO;FINALIZADA;2018-09-18;18:26:00;GRAÇAS;AV RUI BARBOSA;57;ENF AO COLEGIO VERA CRUZ;COLISÃO;MOTO X AUTO;1;1;;;;;;;;0;
COLISÃO;CANCELADA;2018-09-18;18:43:00;NOVA DESCOBERTA;RUA NOVA DESCOBERTA;1375;"E/F A PANIFICADORA REFÚGIO / NA DESCIDA DO '' OLHO D ÁGUA ''";COLISÃO;ENTRE ÕNIBUS E MICRO ÕNIBUS. S/V;;;;;;2;;;;0;
COLISÃO;FINALIZADA;2018-09-18;18:50:00;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;SEMAFORO 116 SENTIDO SUB // APOS O VIADUTO TANCREDO NEVES;COLISÃO;GOL X CAMINHAO DE CONCRETO;1;;;;;;1;;;0;
COLISÃO;FINALIZADA;2018-09-18;19:18:00;AFOGADOS;RUA SAO MIGUEL;350;E/F AO BANCO DO BRASIL / AO LADO DO POSTO BP / PRÓX A IGREJA BATISTA;COLISÃO;ENTRE AUTO PASSEIO E ÕNIBUS. S/V;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-09-18;20:16:00;MADALENA;RUA CONDE DE IRAJA;;E/F A PADARIA NOVA ARMADA / PRÓX AO CARREFOUR;COLISÃO;ENTRE AUTO  E CARRETA. S/V;1;;;;;;1;;;0;
COLISÃO;FINALIZADA;2018-09-18;21:49:00;IPSEP;RUA ITACARI;;CRUZAMENTO COM A RUA ITAJAI // ENF A EMPRESA DRYFOR;COLISÃO;PRISMA X MOTO;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-09-19;7:12:00;BOA VIAGEM;RUA TENENTE JOAO CICERO;;EM FRENTE AO COLEGIO SANTA MARIA;COLISÃO;COM UMA  VITIMA AGUARDANDO SAMU;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-09-19;7:32:00;JARDIM SÃO PAULO;AV SAO PAULO;257;EM FRENTE AO COLEGIO 2001;COLISÃO;TRES AUTOS;3;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-19;7:35:00;MADALENA;AV VISCONDE DE ALBUQUERQUE;210;EM FRENTE A FARMACIA EXTRAFARMA;COLISÃO;SEM VITIMA;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-19;7:45:00;JOANA BEZERRA;VIADUTO CAPITAO TEMUDO;;SOBRE O VIADUTO CAPITÃO TEMUDO SENT/AGAMENON MAGALHÃES;COLISÃO;SEM VITIMAS;2;;;;;;;;;0;
ACID. DE PERCURSO;FINALIZADA;2018-09-19;7:47:00;ARRUDA;RUA ALEGRE;;APÓS A AVENIDA BEBERIBE;ACID. DE PERCURSO;QUEDA DE MOTO;;;;;;;;;;1;
COLISÃO;FINALIZADA;2018-09-19;7:50:00;CASA FORTE;RUA HENRIQUE MACHADO;;PROXIMO À ESCOLA CAROCHINHA;COLISÃO;COLISÃO ENTRE AUTO E MOTO SEM VÍTIMAS;;;;;;;;;;0;
